Designator,Mid X,Mid Y,Rotation,Layer
D1,90.96625,-62.755,90.0,bottom
D10,110.01625,-100.855,90.0,bottom
D11,129.06625,-100.855,90.0,bottom
D12,147.96,-100.69875,90.0,bottom
D13,129.06625,-43.705,90.0,bottom
D14,147.96,-43.69875,90.0,bottom
D2,110.01625,-62.755,90.0,bottom
D3,129.06625,-62.755,90.0,bottom
D4,148.06,-62.79875,90.0,bottom
D5,90.96625,-81.805,90.0,bottom
D6,110.01625,-81.805,90.0,bottom
D7,129.06625,-81.805,90.0,bottom
D8,148.035,-81.655,90.0,bottom
D9,90.96625,-100.855,90.0,bottom
S1,82.69125,-60.47125,0.0,top
S10,101.74125,-98.57125,0.0,top
S11,120.79125,-98.57125,0.0,top
S12,139.84125,-98.57125,0.0,top
S13,120.79125,-41.42125,0.0,top
S14,139.84125,-41.42125,0.0,top
S2,101.74125,-60.47125,0.0,top
S3,120.79125,-60.47125,0.0,top
S4,139.84125,-60.47125,0.0,top
S5,82.69125,-79.51125,0.0,top
S6,101.74125,-79.52125,0.0,top
S7,120.79125,-79.52125,0.0,top
S8,139.84125,-79.52125,0.0,top
S9,82.69125,-98.57125,0.0,top
